"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"PITPNM2",2.86431020810193,3.61802968025962,0.348107187792854,8.44859493353885,5.68354740449296,0.0996311586677838,1.99113863421475,"NK"
"FSD1",1.2857483071661,1.30079348454178,0.631983287118329,6.84854748578258,2.2734013665686,0.29778566263591,1.99097282078767,"NK"
"YPEL1",2.30234156931485,3.76292087819759,0.536618717258122,12.4702575600491,6.15762443662295,0.56069593653396,1.96819256582054,"NK"
"GNAL",1.28241313035358,1.17994361146909,0.84661320502682,9.61816749871606,8.5100538926834,0.631463591731777,1.87780732958502,"NK"
"TCEA3",10.9475345842205,0.0610027083392296,0.412248201648339,0.131644998030526,59.7439764002057,0,Inf,"DC"
"GPA33",17.5954688769419,1.67363662067846,1.60152686782467,5.382106943425,20.0501288987165,0,Inf,"DC"
"CARD17",3.52144744323113,0.308953309290859,3.14610395352909,0,13.6414283387311,1.18857127828719,Inf,"DC"
"ABCB4",0.143159146200659,18.9385031381477,0.0683544969420014,0.714434839065786,37.2186582799244,0,Inf,"DC"
"BEND5",1.21826615385285,16.4879014950211,0,0.639361435526048,31.8115179935646,0,Inf,"DC"
"IL6",0,23.959162982242,7.44818796375739,0,32.475237422146,0,Inf,"DC"
"EPB41L2",2.88862689041883,18.6389138068591,7.92817106144073,1.86617902157351,239.884550542072,0,Inf,"DC"
"PNPLA7",1.09586247268826,4.4449545966295,0.491240379668931,0.804404977556436,5.33911556028149,0,Inf,"DC"
"LPAR5",5.49198459654432,25.7305416491007,0.558023199987573,12.1150168330595,75.7183956842748,0,Inf,"DC"
"PPM1J",0.0159544573230471,4.12760207921099,0.679371013360224,0.453521092263779,102.701249504988,0,Inf,"DC"
"PACSIN1",0.257221485157751,0.196877013506879,0.00610110578385623,1.51745096691267,14.8216656917923,0,Inf,"DC"
"SPNS3",0.696254858928432,0.376237951699857,3.78688280686614,0.827454901536216,496.019923699296,0,Inf,"DC"
"GAS6",1.28181072440863,5.20916150949504,2.14510786208937,0.239856386438333,122.037837450728,0,Inf,"DC"
"S100A12",0,4.95123963864813,67.0432773646673,0.0937461753378338,126.011924744475,70.918366093539,Inf,"DC"
"CD1E",0,0.186101161339904,1.58317979176296,0.153896961648152,821.516461135706,0,Inf,"DC"
"CLEC10A",0,1.62308840315301,18.5370573291635,0.75340709534354,3492.106058025,0.0210877047135845,Inf,"DC"
"CYP2S1",0.00405228834330564,0.967994408364986,16.714941662252,0.727985867473149,710.102186121859,0,Inf,"DC"
"CACNA2D3",0,0.473971206803142,15.7379462838609,0.157961752110888,643.639475787552,0,Inf,"DC"
